filename,doi,guest_molecule,KD_A,PLD_A,guest_composition,zeolite_name,std_zeolite_name,si_al_ratio,modified_ion,loading_value,loading_unit,diffusion_coefficient_value,diffusion_coefficient_unit,temperature_value,temperature_unit,concentration_value,concentration_unit,adsorption_loading_value,adsorption_loading_unit,pressure_value,pressure_unit,experimental_method,distinguishing_variable,method_type,method_category
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,2.86E-21,m2/s,298,K,,,282.24,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 1500 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.00E-21,m2/s,298,K,,,61.65,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 1500 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.11E-21,m2/s,298,K,,,63.91,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 2100 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.11E-21,m2/s,298,K,,,292.27,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 1800 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.14E-21,m2/s,298,K,,,274.16,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 1200 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.20E-21,m2/s,298,K,,,264.32,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 1500 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.23E-21,m2/s,298,K,,,173.22,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 1500 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.25E-21,m2/s,298,K,,,214.95,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 1200 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.32E-21,m2/s,298,K,,,167.25,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 1200 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.33E-21,m2/s,298,K,,,255.79,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 1200 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.36E-21,m2/s,298,K,,,60.37,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 1200 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.74E-21,m2/s,298,K,,,265.23,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 900 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.88E-21,m2/s,298,K,,,208.55,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 900 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,3.99E-21,m2/s,298,K,,,248.93,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 900 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,4.22E-21,m2/s,298,K,,,59.52,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 900 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,4.24E-21,m2/s,298,K,,,165.54,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 900 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,4.67E-21,m2/s,298,K,,,53.41,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 600 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,5.08E-21,m2/s,298,K,,,198.74,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 600 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,5.16E-21,m2/s,298,K,,,154.89,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 600 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,5.20E-21,m2/s,298,K,,,258,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 600 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,5.25E-21,m2/s,298,K,,,238.26,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 600 s,Experimental,Uptake/Release
10.1016_j.apcata.2022.118741,10.1016/j.apcata.2022.118741,cyclohexylbenzene,7,4,,delaminated MWW (M2),MWW,15.7,,,,7.34E-21,m2/s,373,K,,,,,,,Gravimetric uptake,,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,8.49E-21,m2/s,298,K,,,182.52,mg/g,4.972,bar,Batch adsorption,model: Boyd; time: 300 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,8.90E-21,m2/s,298,K,,,52.13,mg/g,0.992,bar,Batch adsorption,model: Boyd; time: 300 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,9.20E-21,m2/s,298,K,,,225.04,mg/g,6.836,bar,Batch adsorption,model: Boyd; time: 300 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,9.24E-21,m2/s,298,K,,,245.24,mg/g,8.299,bar,Batch adsorption,model: Boyd; time: 300 s,Experimental,Uptake/Release
10.1016_j.ces.2025.123086,10.1016/j.ces.2025.123086,carbon dioxide,3.3,7.4,,zeolite 13X@ZIF-8,FAU-NaX,,,,,9.30E-21,m2/s,298,K,,,148.06,mg/g,3.063,bar,Batch adsorption,model: Boyd; time: 300 s,Experimental,Uptake/Release
10.1016_j.apcata.2022.118741,10.1016/j.apcata.2022.118741,ethylbenzene,6,4,,MCM-22 (M1),MWW-H,15.75,,,,1.16E-20,m2/s,373,K,,,,,,,Gravimetric uptake,,Experimental,Uptake/Release
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Ethylbenzene,6.0,4.7,,ZSM-5,MFI-H,,,,,1.34E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: solid,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,3-dimethylbenzene",6.8,4.7,,ZSM-5,MFI-H,,,,,1.45E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: solid,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,2-dimethylbenzene",6.8,4.7,,ZSM-5,MFI-H,,,,,1.59E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: solid,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5,MFI-H,,,,,1.67E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: solid,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Toluene,5.85,4.7,,ZSM-5,MFI-H,,,,,1.74E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: solid,Computational,MD
10.1016_j.apcata.2022.118741,10.1016/j.apcata.2022.118741,ethylbenzene,6,4,,delaminated MWW (M2),MWW,15.7,,,,1.98E-20,m2/s,373,K,,,,,,,Gravimetric uptake,,Experimental,Uptake/Release
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Benzene,5.35,4.7,,ZSM-5,MFI-H,,,,,2.01E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: solid,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,2-dimethylbenzene",6.8,4.7,,ZSM-5,MFI-H,,,,,2.71E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: yolk-shell,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5,MFI-H,,,,,2.82E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: yolk-shell,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Ethylbenzene,6.0,4.7,,ZSM-5,MFI-H,,,,,3.16E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: yolk-shell,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,3-dimethylbenzene",6.8,4.7,,ZSM-5,MFI-H,,,,,3.24E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: yolk-shell,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Toluene,5.85,4.7,,ZSM-5,MFI-H,,,,,3.30E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: yolk-shell,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Benzene,5.35,4.7,,ZSM-5,MFI-H,,,,,3.99E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: yolk-shell,Computational,MD
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5,MFI-H,,,,,5.76E-20,m2/s,303,K,,,,,,,ZLC,,Experimental,ZLC
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Ethylbenzene,6.0,4.7,,ZSM-5,MFI-H,,,,,5.89E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: hollow,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,2-dimethylbenzene",6.8,4.7,,ZSM-5,MFI-H,,,,,6.10E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: hollow,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Toluene,5.85,4.7,,ZSM-5,MFI-H,,,,,6.58E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: hollow,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,3-dimethylbenzene",6.8,4.7,,ZSM-5,MFI-H,,,,,6.74E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: hollow,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5,MFI-H,,,,,9.05E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: hollow,Computational,MD
10.1016_j.fuel.2025.136068,10.1016/j.fuel.2025.136068,Benzene,5.35,4.7,,ZSM-5,MFI-H,,,,,9.28E-20,m2/s,973,K,,,,,,,Molecular Dynamics,structure: hollow,Computational,MD
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5-4V,MFI-V,,,,,1.98E-19,m2/s,303,K,,,,,,,ZLC,,Experimental,ZLC
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5,MFI-H,,,,,2.25E-19,m2/s,323,K,,,,,,,ZLC,,Experimental,ZLC
10.3390_nano10010030,10.3390/nano10010030,toluene,5.85,4.7,,Pt/ZSM-5,MFI-H,59,Pt,0.5,wt%,3.45E-19,m2/s,303,K,,,,,0.002,bar,Gravimetric Uptake (IGA),,Experimental,Uptake/Release
10.1016_j.mcat.2023.113044,10.1016/j.mcat.2023.113044,cyclohexane,6,4.7,,HZ-5,MFI-H,12.8,H+,,,4.05E-19,m2/s,333,K,,,,,,,ZLC,,Experimental,ZLC
10.3390_nano10010030,10.3390/nano10010030,toluene,5.85,4.7,,Pt/ZSM-5-D,MFI-Pt,,Pt,0.5,wt%,4.06E-19,m2/s,303,K,,,,,0.002,bar,Gravimetric Uptake (IGA),,Experimental,Uptake/Release
10.3390_nano10010030,10.3390/nano10010030,toluene,5.85,4.7,,Pt/ZSM-5,MFI-H,59,Pt,0.5,wt%,4.06E-19,m2/s,303,K,,,,,0.001,bar,Gravimetric Uptake (IGA),,Experimental,Uptake/Release
10.3390_nano10010030,10.3390/nano10010030,toluene,5.85,4.7,,Pt/ZSM-5-D,MFI-Pt,,Pt,0.5,wt%,4.79E-19,m2/s,303,K,,,,,0.001,bar,Gravimetric Uptake (IGA),,Experimental,Uptake/Release
10.1021_jacs.3c04260,10.1021/jacs.3c04260,gold(3+),,4.1,,LTA,LTA,,,,,5.21E-19,m2/s,450,K,,,,,,,Well-tempered metadynamics with dcTST,,Computational,MD
10.1016_s0021-9517(03)00234-3,10.1016/s0021-9517(03)00234-3,"1,2-dimethylbenzene",6.8,4.7,,SbZ4,MFI,45,Sb,10.2,wt%,6.60E-19,m2/s,373,K,,,,,0.001,bar,"IR spectroscopy (transient uptake, square root law)",,Experimental,Microimaging
10.1002_chem.201102505,10.1002/chem.201102505,benzene,5.35,4.7,,ZSM-5@mesoSiO2-75,MFI,110,,,,7.25E-19,m2/s,298,K,,,,,,,adsorption kinetics,,Experimental,Uptake/Release
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5-4V,MFI-V,,,,,7.38E-19,m2/s,323,K,,,,,,,ZLC,,Experimental,ZLC
10.1016_j.jcat.2026.116995,10.1016/j.jcat.2026.116995,"2,2-dimethylbutane",6.2,4.7,,ZSM-5,MFI-H,,,,,7.65E-19,m2/s,343,K,,,,,,,ZLC,,Experimental,ZLC
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5,MFI-H,,,,,7.65E-19,m2/s,343,K,,,,,,,ZLC,,Experimental,ZLC
10.1002_chem.201102505,10.1002/chem.201102505,benzene,5.35,4.7,,ZSM-5,MFI-H,110,,,,7.88E-19,m2/s,298,K,,,,,,,adsorption kinetics,,Experimental,Uptake/Release
10.1016_j.mcat.2023.113044,10.1016/j.mcat.2023.113044,cyclohexane,6,4.7,,HZ-5,MFI-H,12.8,H+,,,1.22E-18,m2/s,353,K,,,,,,,ZLC,,Experimental,ZLC
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5-1V,MFI-H,,,,,1.22E-18,m2/s,303,K,,,,,,,ZLC,,Experimental,ZLC
10.1016_j.micromeso.2020.110499,10.1016/j.micromeso.2020.110499,toluene,5.85,4.7,,PlainS-1,MFI,,,,,1.51E-18,m2/s,313,K,,,,,0.0005,bar,ZLC,,Experimental,ZLC
10.1016_j.cattod.2012.09.031,10.1016/j.cattod.2012.09.031,benzene,5.35,7.4,,Nano-Y@MesoSiO2-20 nm,FAU-NaY,2.19,,,,1.67E-18,m2/s,298,K,,,,,,,gravimetric uptake,,Experimental,Uptake/Release
10.1016_j.micromeso.2017.10.053,10.1016/j.micromeso.2017.10.053,4-hydroxybenzoic acid,6.5,4.7,,HiSiv-3000,MFI-H,,,,,1.80E-18,m2/s,303,K,100,mol/L,,,,,batch uptake (ultrasonication-assisted),,Experimental,Uptake/Release
10.1016_j.micromeso.2017.10.053_SI,10.1016/j.micromeso.2017.10.053,4-hydroxybenzoic acid,6.5,4.7,,HiSiv-3000,MFI-H,,,,,1.80E-18,m2/s,303,K,100,mg/L,,,,,Batch adsorption kinetics,Ws/V: 0.67 g/L,Experimental,Uptake/Release
10.1016_j.micromeso.2020.110499,10.1016/j.micromeso.2020.110499,toluene,5.85,4.7,,PlainS-1,MFI,,,,,1.81E-18,m2/s,323,K,,,,,0.0005,bar,ZLC,,Experimental,ZLC
10.1016_j.mcat.2023.113044,10.1016/j.mcat.2023.113044,cyclohexane,6,4.7,,HZ-5,MFI-H,12.8,H+,,,1.82E-18,m2/s,373,K,,,,,,,ZLC,,Experimental,ZLC
10.1016_s0021-9517(03)00234-3,10.1016/s0021-9517(03)00234-3,"1,2-dimethylbenzene",6.8,4.7,,SbZ3,MFI,45,Sb,7.7,wt%,1.90E-18,m2/s,373,K,,,,,0.001,bar,"IR spectroscopy (transient uptake, square root law)",,Experimental,Microimaging
10.1021_acs.jpcc.0c08054,10.1021/acs.jpcc.0c08054,"1,3-dimethylbenzene",6.8,4.7,,MFI-type zeolite,MFI,,,,,1.90E-18,m2/s,353,K,,,,,,,Transition State Theory (TST),framework_flexibility: rigid,Computational,Other
10.1016_j.jcat.2026.116995,10.1016/j.jcat.2026.116995,"2,2-dimethylbutane",6.2,4.7,,ZSM-5-2 V,MFI-H,,,,,1.94E-18,m2/s,303,K,,,,,,,ZLC,,Experimental,ZLC
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5-2V,MFI-H,,,,,1.94E-18,m2/s,303,K,,,,,,,ZLC,,Experimental,ZLC
10.1016_j.jhazmat.2005.11.050,10.1016/j.jhazmat.2005.11.050,2-methoxy-2-methylpropane,6.2,6.5,,mordenite (CBV 90A),MOR,90,,,,2.00E-18,m2/s,293,K,,,,,,,batch kinetic adsorption (micropore diffusion model),water_matrix: STL groundwater,Experimental,Uptake/Release
10.1016_j.seppur.2011.08.027,10.1016/j.seppur.2011.08.027,acetonitrile,4.4,4.1,,4A,LTA-Na,1,,,,2.00E-18,m2/s,296,K,,,,,,,batch uptake (graphical method),form: powder (crushed pellets); crystal_size: 10 μm,Experimental,Uptake/Release
10.1016_j.seppur.2011.08.027,10.1016/j.seppur.2011.08.027,acetonitrile,4.4,4.1,,4A,LTA-Na,1,,,,2.00E-18,m2/s,296,K,,,,,,,batch uptake (numerical method),form: powder (crushed pellets); crystal_size: 10 μm,Experimental,Uptake/Release
10.1021_acscatal.6b01771_SI,10.1021/acscatal.6b01771,"2,2-dimethylbutane",6.2,4.7,,ZSM-5-4V,MFI-V,,,,,2.39E-18,m2/s,343,K,,,,,,,ZLC,,Experimental,ZLC
apj.412,,butanol,5,3.1,,natural clinoptilolite,HEU,,,,,2.41E-18,m2/s,293,K,,,1.046,mmol/g,0.005546195,bar,gravimetric uptake (constant pressure static),particle_size: 1.125 mm; coefficient_type: intracrystalline diffusivity,Experimental,Uptake/Release
10.3390_nano10010030,10.3390/nano10010030,toluene,5.85,4.7,,Pt/ZF,MFI,53,Pt,0.5,wt%,2.68E-18,m2/s,303,K,,,,,0.001,bar,Gravimetric Uptake (IGA),,Experimental,Uptake/Release
10.1016_j.mcat.2023.113044,10.1016/j.mcat.2023.113044,cyclohexane,6,4.7,,ZSM-5,MFI-H,19.4,H+,,,2.75E-18,m2/s,333,K,,,,,,,ZLC,,Experimental,ZLC
10.1016_j.cej.2008.01.038,10.1016/j.cej.2008.01.038,lead(2+),,7.4,,Zeolite X,FAU-NaX,,,,,2.82E-18,m2/s,294,K,0.000105,mol/L,0.101,mol/kg,,,Batch adsorption kinetics,model: Weber-Morris; sorbent_dose: 1 g/L,Experimental,Uptake/Release
10.1016_j.micromeso.2020.110499,10.1016/j.micromeso.2020.110499,toluene,5.85,4.7,,PlainS-1,MFI,,,,,2.86E-18,m2/s,333,K,,,,,0.0005,bar,ZLC,,Experimental,ZLC
